"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sign‑Up","0","Sign‑Up Page","6","0","Field Validation – Required","0"
"0","Workflow Management","0","Workflow Page","2","0","Link Generation","0"
"0","Authentication","0","Login Validation","11","0","User Authentication","0"
"0","Workflow Management","0","Links Page","8","0","Search Links","0"
"0","Workflow Management","0","Workflow Page","12","0","Form Validation","0"
"0","Workflow Management","0","Links Page","2","0","Filter Functionality","0"
"0","Workflow Management","0","Workflow Page","1","0","Page Navigation","0"
"0","Sign‑Up","0","Sign‑Up Page","1","0","Navigation","0"
"0","Authentication","0","Login Validation","1","0","","0"
"0","Sign‑Up","0","Sign‑Up Page","1","0","Page Visibility","0"
"0","Sign‑Up","0","Sign‑Up Page","4","0","Field Validation – Password Rules","0"
"0","Sign‑Up","0","Sign‑Up Page","1","0","Field Validation – Password Mismatch","0"
"2","Workflow Management","1","Links Page","0","0","Filter Links","0"
"0","Sign‑Up","0","Sign‑Up Page","2","0","UI Interaction – Show/Hide Password","0"
"0","Workflow Management","0","Links Page","1","0","Search Functionality","0"
"0","Workflow Management","0","Links Page","1","0","Page Navigation","0"
"0","Sign‑Up","0","Sign‑Up Page","1","0","Field Validation – Email Format","0"
"0","Authentication","0","Login Validation","1","0","Navigation","0"
"0","Authentication","0","Login Validation","1","0","Page Visibility","0"
"0","Workflow Management","0","Workflow Page","1","0","Modal Interaction","0"
