15:46:13 | INFO | conftest:auth_state | Performing session-level authentication...
15:46:13 | INFO | framework.locators.main_interfaces:open | Opening page SignInPage at https://test.detelio.ai
15:46:13 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for SignInPage to be loaded
15:46:15 | INFO | framework.locators.sign_in_page:login | ✓ Entering username
15:46:15 | INFO | framework.locators.sign_in_page:login | ✓ Entering password
15:46:15 | INFO | framework.locators.sign_in_page:login | ✓ Clicking login button
15:46:15 | INFO | framework.locators.sign_in_page:login | ✓ Verifying login success
15:46:16 | INFO | conftest:auth_state | ✓ Authentication successful. State saved to state/auth_state.json
15:46:17 | INFO | framework.locators.main_interfaces:open | Opening page AdminPage at https://test.detelio.ai
15:46:17 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for AdminPage to be loaded
15:46:18 | INFO | framework.locators.main_interfaces:navigate_to_links | Navigating to links
15:46:18 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for LinksPage to be loaded
