19:57:22 | INFO | conftest:auth_state | Performing session-level authentication...
19:57:22 | INFO | framework.locators.main_interfaces:open | Opening page SignInPage at https://test.detelio.ai
19:57:23 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for SignInPage to be loaded
19:57:25 | INFO | framework.locators.sign_in_page:login | ✓ Entering username
19:57:25 | INFO | framework.locators.sign_in_page:login | ✓ Entering password
19:57:25 | INFO | framework.locators.sign_in_page:login | ✓ Clicking login button
19:57:25 | INFO | framework.locators.sign_in_page:login | ✓ Verifying login success
19:57:25 | INFO | conftest:auth_state | ✓ Authentication successful. State saved to state/auth_state.json
19:57:26 | INFO | framework.locators.main_interfaces:open | Opening page AdminPage at https://test.detelio.ai
19:57:26 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for AdminPage to be loaded
19:57:27 | INFO | framework.locators.main_interfaces:navigate_to_links | Navigating to links
19:57:28 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for LinksPage to be loaded
