"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Enter different values for *Password* and *Repeat Password* and verify the validation.

        The application typically shows a specific message; we assert that the
        *repeat‑password* validation element displays a non‑empty error.
        ","163","Password mismatch validation","tests.public","Sun Feb 22 19:59:41 UTC 2026","passed","Sun Feb 22 19:59:41 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test that the Company Telephone Number field enforces 7–15 character length
        (including '+' and country code).

        Uses a function-scoped browser context via corporate_general_page fixture.
        Each parametrized case fills the phone field, submits, and checks validation.
        ","913","Phone Number Length Validation – 12345678901234","tests.forms","Sun Feb 22 20:00:57 UTC 2026","passed","Sun Feb 22 20:00:58 UTC 2026","TestCorporateFormPage","test_corporate_form_page","",""
"
        Test that search filters links correctly by Partial Name.
        Verifies that ALL result rows contain the partial text in the relevant column.
        ","981","Search by Partial Name","tests.admin","Sun Feb 22 19:59:50 UTC 2026","passed","Sun Feb 22 19:59:51 UTC 2026","TestLinksPage","test_links_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","160","Required fields validation","tests.public","Sun Feb 22 19:59:35 UTC 2026","passed","Sun Feb 22 19:59:35 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"","124","test_password_hide_button_is_working[chromium]","tests.public","Sun Feb 22 19:59:31 UTC 2026","passed","Sun Feb 22 19:59:31 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","1994","Invalid Email Format Validation","tests.admin","Sun Feb 22 20:00:48 UTC 2026","passed","Sun Feb 22 20:00:50 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"    def test_corporate_form_loads_correctly(self, browser, corporate_form_link):

        Test that the corporate form loads correctly when accessed via a workflow link.
        
        Preconditions:
        - Workflow link for Company is generated and active
        
        Steps:
        1. Get the workflow link from fixture
        2. Open the workflow link in a new browser tab
        
        Expected Results:
        • Business Account Setup form loads correctly
        • All sections are visible: General, Persons, Documents, FATCA and CRS
        • Welcome message is displayed at the top
        ","6993","Corporate Form Loads Correctly via Workflow Link","tests.forms","Sun Feb 22 19:58:30 UTC 2026","passed","Sun Feb 22 19:58:37 UTC 2026","TestCorporateFormPage","test_corporate_form_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","154","Required fields validation","tests.public","Sun Feb 22 20:01:25 UTC 2026","passed","Sun Feb 22 20:01:25 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Verify filtering links by Profile Type using search.

        Steps:
        1. Open ""Filter"" and select a profile type
        2. Click ""Apply""
        3. Search for a name of a DIFFERENT profile type
        4. Verify no results found (record is filtered out)
        5. Search for a name of the CORRECT profile type
        6. Verify record is found (record is NOT filtered out)
        7. Click ""Filter"" -> ""Reset""
        8. Search for the DIFFERENT profile type's name again
        9. Verify record is now found (filter is cleared)
        ","3792","Filter by Profile Type","tests.admin","Sun Feb 22 19:59:55 UTC 2026","passed","Sun Feb 22 19:59:59 UTC 2026","TestLinksPage","test_links_page","",""
"Check that the UI reports password‑strength violations.

        The exact validation messages are defined by the application; the test
        asserts that *some* message appears containing the expected hint.
        ","153","Password rules validation","tests.public","Sun Feb 22 20:01:06 UTC 2026","passed","Sun Feb 22 20:01:06 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test the complete flow of generating a link and verifying it appears in the Links page.

        This test verifies that:
        1. User can generate a natural person or company link
        2. The generated link appears in the Links page table
        ","4772","Generate Link Functional Flow","tests.admin","Sun Feb 22 19:58:25 UTC 2026","passed","Sun Feb 22 19:58:30 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Verify filtering links by Deadline Date range.

        Preconditions:
        - Links page is open with links having different deadlines

        Steps:
        1. Click ""Filter""
        2. Enter a date range using the date pickers
        3. Click ""Apply""

        Expected Results:
        - Only links with Deadline Dates within the selected range are displayed
        - Links outside the range are hidden
        - Table updates correctly after filter applied
        ","5506","Filter by Deadline Date Range","tests.admin","Sun Feb 22 19:57:51 UTC 2026","failed","Sun Feb 22 19:57:57 UTC 2026","TestLinksPage","test_links_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","183","Required fields validation","tests.public","Sun Feb 22 20:01:31 UTC 2026","passed","Sun Feb 22 20:01:31 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test that search filters links correctly by Email.
        ","1742","Search by Email","tests.admin","Sun Feb 22 19:59:46 UTC 2026","passed","Sun Feb 22 19:59:48 UTC 2026","TestLinksPage","test_links_page","",""
