https://test.detelio.ai/verification/da25a72695d2746258633a4f8274ff16ee56c3c147cd172591c14eecbabcbee4037b09a8f8c4cda228c43265745eb6ff9d465d4e73018c23b68bbdcf9a9df154
18:36:56 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for CorporateGeneralPage to be loaded
18:36:56 | INFO | framework.locators.form_pages.corporate_form.corporate_page:get_all_sections | Found 11 sections on the page
18:37:02 | INFO | framework.locators.form_pages.corporate_form.corporate_page:get_all_sections | Found 11 sections on the page
18:37:02 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Full Corporate Name' = 'Enough wife.'</green>
18:37:04 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Corporate Registration Number' = 'Budget memory fill.'</green>
18:37:05 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Date of incorporation/Establishment' = '19/11/2006'</green>
18:37:06 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Company Telephone Number' = '36255445'</green>
18:37:07 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Company Website' = 'However option.'</green>
18:37:09 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'VAT Number' = 'Write better.'</green>
18:37:11 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Country of Incorporation' = ['Andorra']</green>
18:37:11 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Legal Entity Identifier' = 'Build design fly.'</green>
18:37:14 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Country' = ['Afghanistan']</green>
18:37:15 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'City' = 'Rule sense himself.'</green>
18:37:16 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Postcode ('n/a' if not available)' = 'Expert century.'</green>
18:37:17 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Address Line 1' = 'Usually without.'</green>
18:37:19 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Address Line 2' = 'Rule design dinner.'</green>
18:37:21 | INFO | forms.test_corporate_form_fill:test_fill_all_general_fields | <green>✓ Set trading address different = 'No'</green>
18:37:22 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Regulation' (radio option 2/5)</green>
18:37:23 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Has the entity ever been subject to an investigation or been fined by the financial regulator?' = True</green>
18:37:24 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Name of the Financial Regulator' = 'Low indicate sort.'</green>
18:37:25 | INFO | framework.elements.base_inputs:auto_fill | <green>✓ Auto-filled 'Date of Investigation' = '03/04/1972'</green>
